legacy,code
100483,COMM1026
200022,MATH3006
200023,MATH3003
200025,MATH1006
200027,MATH2010
200028,MATH2001
200030,MATH2003
200032,MATH1030
200045,MATH3008
200193,MATH3001
200263,MATH1003
300093,COMP3006
300095,COMP3007
300096,COMP2008
300103,COMP2009
300104,INFS2001
300111,INFS3005
300115,COMP3009
300128,INFO3006
300130,COMP3011
300134,INFO1001
300136,INFO3005
300138,COMP2013
300143,INFO3007
300144,INFS2006
300147,COMP2014
300150,INFO1002
300165,COMP3022
300166,COMP3023
300167,COMP2019
300404,INFS3008
300491,COMP2011
300565,COMP2004
300566,INFS2004
300569,INFO3001
300570,INFO3003
300572,INFS3012
300573,INFS1002
300575,COMP3014
300578,INFO3008
300579,COMP3018
300580,COMP1005
300581,COMP2015
300582,COMP2020
300583,INFS3017
300584,INFS3006
300585,INFS1006
300672,MATH1014
300673,MATH1015
300698,COMP3015
300700,MATH1028
300830,MATH1001
300831,MATH1026
300862,COMP3024
300950,HLTH2007
300951,PUBH2004
300952,COMP3025
300953,INFS3002
300954,INFS3001
300955,INFS3010
300956,INFS3011
300958,COMP3020
300960,COMP3013
300961,INFO3011
300966,PHYS2004
301031,COMP2003
301032,MATH2011
301034,MATH3007
301035,MATH3005
301107,MATH1002
301108,MATH1033
301109,MATH2014
301110,COMP3002
301111,MATH3004
301123,MATH1012
301124,INFO3002
301164,COMP1001
301167,COMP2018
301174,INFS3003
301203,COMP3012
301204,COMP3003
301205,COMP3027
